1,3,13
1,4,13
2,3,4
2,4,9
3,4,9
5,6,7
5,7,11
5,8,14
6,7,5
6,8,5
7,8,8
9,10,15
9,11,7
9,12,6
10,11,19
10,12,18
11,12,7
13,14,20
13,15,12
13,16,7
14,15,9
14,16,4
15,16,12
17,18,3
17,19,14
17,20,20
18,19,3
18,20,14
19,20,18
21,22,3
21,23,3
21,24,18
22,23,12
22,24,9
23,24,7
25,26,11
25,27,10
25,28,19
26,27,17
26,28,11
27,28,16
29,30,1
29,31,17
29,32,4
30,31,16
30,32,15
31,32,19
3,5,14
3,6,20
4,5,13
4,6,17
7,9,12
7,10,5
8,9,10
8,10,6
11,13,2
11,14,20
12,13,19
12,14,4
15,17,3
15,18,17
16,17,17
16,18,20
19,21,20
19,22,3
20,21,5
20,22,8
23,25,9
23,26,18
24,25,12
24,26,10
27,29,12
27,30,9
28,29,5
28,30,13
